TestCaseID,Module,Scenario,Preconditions,Steps,TestData,ExpectedResult,Priority,Description
TC_HCI_001,Cluster,Create HCI Cluster,Admin logged in,Create cluster with valid config,"Nodes=3, Region=US",Cluster created successfully,High,"Validates the ability to create a new HCI cluster with valid configuration. This test ensures that cluster initialization with 3 nodes in the US region completes successfully, all nodes are registered, cluster state transitions to ACTIVE, and the cluster is ready to accept workloads."
TC_HCI_002,Cluster,Cluster failover,Cluster exists,Simulate node failure,NodeID=1,Workload shifts automatically,High,"Tests cluster resilience by simulating a node failure. Verifies that when NodeID=1 fails, running workloads are automatically detected and rescheduled to healthy nodes, cluster maintains quorum, and services remain available without manual intervention."
TC_HCI_003,Compute,Create VM,Cluster active,Create VM,"CPU=4, RAM=8GB",VM created and running,High,"Validates VM creation on an active cluster with specified compute resources (4 CPU cores, 8GB RAM). Ensures the VM is deployed successfully, reaches RUNNING state, is accessible on the network, and all resource allocations are applied correctly."
TC_HCI_004,Compute,VM Resize,VM exists,Increase VM resources,CPU=8,VM resized without failure,Medium,"Tests the ability to resize VM resources without downtime. Verifies that increasing CPU allocation from 4 to 8 cores completes successfully, the VM remains in RUNNING state during the operation, and performance metrics reflect the new allocation."
TC_HCI_005,Storage,Create Storage Pool,Cluster available,Create pool,Disk=500GB,Pool created,High,"Validates creation of a new storage pool with 500GB capacity on the available cluster. Ensures the pool is initialized, formatted correctly, integrated into the cluster storage fabric, and ready to provision storage volumes."
TC_HCI_006,Storage,Disk failure handling,Pool exists,Disconnect disk,DiskID=2,Data redundancy maintained,High,"Tests storage fault tolerance by simulating disk failure (DiskID=2). Verifies that data redundancy mechanisms activate automatically, data is accessible from replica copies, cluster storage health is maintained, and alerts are generated for the failed disk."
TC_HCI_007,Network,Create VPC,User logged in,Create network,CIDR=10.0.0.0/24,Network created,High,"Validates VPC creation with specified CIDR block (10.0.0.0/24). Ensures the network is provisioned, CIDR is correctly allocated, no conflicts exist with other networks, and the network is ready for VM connectivity."
TC_HCI_008,Network,Network isolation,Multiple tenants,Access cross network,TenantA/B,Access restricted,High,"Tests network isolation between multiple tenants. Verifies that VMs/resources belonging to TenantA cannot access TenantB networks and vice versa, security group rules are enforced, and cross-tenant traffic is properly blocked at the network layer."
TC_HCI_009,Hypervisor,VM migration,Multiple hosts,Migrate VM,VM-01,Migration successful without downtime,High,"Validates live VM migration across hypervisor hosts without service interruption. Ensures VM-01 is successfully migrated, all network connections remain active, storage remains accessible, and there is no observable downtime during the migration process."
TC_HCI_010,Hypervisor,Hypervisor restart,Cluster running,Restart hypervisor node,Node=2,Services recover automatically,High,"Tests cluster resilience during hypervisor node restart. Verifies that restarting Node=2 triggers automatic recovery mechanisms, running VMs are preserved or rescheduled, cluster health is maintained, and services resume without manual intervention."
TC_HCI_011,Management,Dashboard load,User logged in,Open dashboard,-,Dashboard loads within SLA,Medium,"Validates dashboard performance and availability. Ensures the management dashboard loads within the defined SLA (typically <3 seconds), displays accurate cluster metrics, and provides responsive user interaction."
TC_HCI_012,Management,Role based access,Users created,Login as viewer,Role=viewer,Restricted access seen,High,"Tests role-based access control (RBAC) implementation. Verifies that a user with viewer role can only access read-only operations, cannot perform administrative actions, and sees restricted menu options based on assigned permissions."
TC_HCI_013,Security,Multi-factor auth,User exists,Enable MFA,OTP,Login requires OTP,High,"Validates MFA implementation for account security. Ensures that enabling MFA on a user account requires OTP verification during login, backup codes are provided, and the second factor is enforced on all login attempts."
TC_HCI_014,Security,Unauthorized login,User exists,Login with invalid creds,Wrong password,Login denied,High,"Tests authentication failure handling. Verifies that login attempts with invalid credentials are rejected, appropriate error messages are displayed, failed attempts are logged, and account lockout mechanisms trigger after multiple failures."
TC_HCI_015,Lifecycle,Cluster upgrade,Cluster active,Perform upgrade,Version=V2,Upgrade completes successfully,High,"Validates cluster upgrade process from current version to V2. Ensures upgrade proceeds without interrupting running workloads, all cluster components are updated, cluster health is verified post-upgrade, and rollback capability is available if needed."
TC_HCI_016,Lifecycle,Rollback upgrade,Upgrade failed,Trigger rollback,-,System restored,High,"Tests upgrade rollback mechanism when an upgrade fails. Verifies that rollback restores the cluster to the previous stable version, all data is preserved, services are recovered, and cluster functionality is fully restored."
TC_HCI_017,Performance,VM stress test,VM running,Run load test,CPU load,System handles load,Medium,"Tests system performance under CPU stress conditions. Runs CPU-intensive workloads on VM and verifies the system handles peak load without crashes, monitoring metrics are accurate, thermal throttling (if applicable) is managed, and performance remains predictable."
TC_HCI_018,Performance,Storage IO test,Storage pool exists,Run IO workload,IOPS load,Performance within SLA,Medium,"Validates storage performance under IOPS load. Runs concurrent read/write operations and verifies throughput and latency meet SLA requirements, no data corruption occurs, and queue depths remain acceptable under load."
TC_HCI_019,Backup,Backup VM,VM exists,Trigger backup,Schedule=daily,Backup created,High,"Tests VM backup creation with daily schedule. Ensures backup job completes successfully, backup data integrity is verified, backup metadata is stored correctly, and backups are available for restore operations."
TC_HCI_020,Backup,Restore VM,Backup exists,Restore backup,BackupID=123,VM restored,High,"Validates VM restore from backup (BackupID=123). Verifies backup is successfully restored to a new VM instance, all data and configurations are preserved, VM reaches RUNNING state post-restore, and connectivity is established."
